"sample","stromal","immune","estimate","purity","type","sam","cancer_type"
"C3L-03965_r",3.35160403251542,-1475.00005177458,-1471.64844774207,0.925301573686648,"r","C3L-03965","LUSC"
"C3L-04013_r",-2624.22449464185,-2537.20929711155,-5161.43379175339,0.98837138170374,"r","C3L-04013","LUSC"
"C3L-04014_r",-439.737051579581,-745.805595082016,-1185.5426466616,0.908563759045363,"r","C3L-04014","LUSC"
"C3L-04071_r",2398.29996916273,2974.45549766335,5372.75546682608,0.176225827230364,"r","C3L-04071","LUSC"
"C3L-04391_r",2419.36413150561,245.116939357586,2664.48107086319,0.543578150135011,"r","C3L-04391","LUSC"
"C3N-00211_r",2000.78682677665,-782.615409452825,1218.17141732382,0.708235501513954,"r","C3N-00211","LUSC"
"C3N-00221_r",-1118.67801516365,-2620.33409802623,-3739.01211318988,0.998424362253447,"r","C3N-00221","LUSC"
"C3N-00247_r",2196.74647602252,3971.46027579948,6168.20675182201,0.0603512289280213,"r","C3N-00247","LUSC"
"C3N-00497_r",1670.92520299057,3300.3013182948,4971.22652128538,0.233903605042676,"r","C3N-00497","LUSC"
"C3N-00555_r",-1519.06674699238,-609.949654676534,-2129.01640166892,0.95753399072983,"r","C3N-00555","LUSC"
"C3N-01017_r",-1536.24097271505,-681.072776222607,-2217.31374893765,0.961190388397911,"r","C3N-01017","LUSC"
"C3N-01018_r",-263.74366775813,-978.610730399251,-1242.35439815738,0.912015839775518,"r","C3N-01018","LUSC"
"C3N-01020_r",1200.20883749088,2913.01841777885,4113.22725526974,0.354178124916562,"r","C3N-01020","LUSC"
"C3N-01025_r",-1351.58111220137,-2069.82456472639,-3421.40567692775,0.994724370243582,"r","C3N-01025","LUSC"
"C3N-01028_r",954.928718785666,2029.02374809674,2983.9524668824,0.503633526263968,"r","C3N-01028","LUSC"
"C3N-01194_r",411.964515947801,2913.44600350057,3325.41051944838,0.459717828987485,"r","C3N-01194","LUSC"
"C3N-01411_r",-932.182999540051,-1773.16234473128,-2705.34534427133,0.97847191311482,"r","C3N-01411","LUSC"
"C3N-01846_r",733.318781676272,-1298.06486597305,-564.746084296781,0.866779290474459,"r","C3N-01846","LUSC"
"C3N-01892_r",1760.8221394182,1412.65344787375,3173.47558729195,0.479407742094199,"r","C3N-01892","LUSC"
"C3N-01893_r",1360.07411235927,2926.2838588372,4286.35797119647,0.330300095077731,"r","C3N-01893","LUSC"
"C3N-02252_r",839.401099606574,1646.68629078142,2486.08739038799,0.565368826085974,"r","C3N-02252","LUSC"
"C3N-02283_r",-1739.25968193288,-3472.71306695409,-5211.97274888697,0.987216138428565,"r","C3N-02283","LUSC"
"C3N-02284_r",-2243.46659089616,-2252.86803134459,-4496.33462224075,0.998486640629516,"r","C3N-02284","LUSC"
"C3N-02285_r",528.667261179857,-18.0506676162685,510.616593563588,0.777610574088112,"r","C3N-02285","LUSC"
"C3N-02288_r",-294.436903452305,-46.0388684922682,-340.475771944573,0.849895535446098,"r","C3N-02288","LUSC"
"C3N-02289_r",2726.58294761952,1406.72269584687,4133.30564346638,0.351420364441523,"r","C3N-02289","LUSC"
"C3N-02300_r",513.299661755941,-64.9341775433378,448.365484212603,0.783323349624576,"r","C3N-02300","LUSC"
"C3N-02339_r",2115.52286917265,-52.058123266667,2063.46474590598,0.615418203413638,"r","C3N-02339","LUSC"
"C3N-02374_r",28.351131119627,-827.371348802296,-799.020217682669,0.883412821689047,"r","C3N-02374","LUSC"
"C3N-02375_r",-2431.81766482082,-1264.86194992344,-3696.67961474427,0.998056400032515,"r","C3N-02375","LUSC"
"C3N-02425_r",-1754.26629919741,-1209.19633723351,-2963.46263643092,0.985587260053214,"r","C3N-02425","LUSC"
"C3N-02426_r",3003.32489502143,1904.7232947404,4908.04818976182,0.242910005300711,"r","C3N-02426","LUSC"
"C3N-02434_r",-1953.24255187035,-2061.91427953552,-4015.15683140587,0.999878185860477,"r","C3N-02434","LUSC"
"C3N-02435_r",1112.75799588567,-1716.45865788696,-603.700662001288,0.869616665210805,"r","C3N-02435","LUSC"
"C3N-02494_r",483.444911870725,1565.49059143958,2048.93550331031,0.617097817410251,"r","C3N-02494","LUSC"
"C3N-02523_r",246.839823806909,-1727.51123086217,-1480.67140705526,0.925803041906416,"r","C3N-02523","LUSC"
"C3N-02575_r",-2465.99677444074,-2472.4474367459,-4938.44421118664,0.992818314636895,"r","C3N-02575","LUSC"
"C3N-02675_r",1238.11856597247,3160.09477320871,4398.21333918118,0.31475870417254,"r","C3N-02675","LUSC"
"C3N-03051_r",-1094.36144455477,-560.536166941447,-1654.89761149622,0.935166522010562,"r","C3N-03051","LUSC"
"C3N-03072_r",693.678285004605,-1805.8895136768,-1112.21122867219,0.904014505257776,"r","C3N-03072","LUSC"
