"","lfc","p_ttest","padj_ttest"
"DOK1",-0.401939106166185,6.33774831227526e-05,0.000306608281535148
"DOK2",-0.387639794459685,0.0138505019346177,0.0296200309681598
"DOK3",-0.308083110057996,0.00896238054313601,0.0203789918528368
"DOPEY1",-0.592364182556584,0.442217459779212,0.539877285485631
"DOPEY2",0.0601271276765587,0.741935704541215,0.804301314488158
"DPAGT1",0.914394535319059,0.00110145784367632,0.00343287694612454
"DPCD",0.363068577673151,0.00168036396180957,0.00491720107271631
"DPF2",-0.0962100516235046,0.268022891928883,0.360681205174725
"DPH1",-0.131452075470249,0.519940334327661,0.612020313642679
"DPH2",0.0135456494143469,0.507477609816195,0.600622234402712
"DPH3",-0.527135538429902,7.65872873270062e-05,0.000362754399399809
"DPH5",-0.787824494948831,2.97560127226217e-07,4.20563179817985e-06
"DPH6",-0.452565557645004,6.84669624455171e-06,4.84588731879229e-05
"DPH7",-0.377473714712651,0.107983828715389,0.170598659695929
"DPM1",-0.515205884914888,4.51838252958214e-07,5.75088373267758e-06
"DPM3",1.144772466171,1.22041809487741e-07,2.2036505190693e-06
"DPP3",-0.0795005861950466,0.189051135196438,0.271100610330359
"DPP4",-0.482360860239306,0.467075276568243,0.56303867284628
"DPP7",-0.181978968378455,0.0696097465775424,0.117535192866821
"DPP8",-0.541499342261559,0.000131654888200826,0.000572034018259532
"DPP9",-0.222767359908954,0.000152138075193767,0.000647435730058728
"DPT",-1.22694679946793,4.7214762205209e-06,3.57011156830056e-05
"DPY19L1",-0.453133378902786,0.0596842165913266,0.10323182535291
"DPY19L3",0.38388876545269,0.042651180001365,0.0774864780374339
"DPY19L4",0.211519386492451,0.0740802322770845,0.124148018622101
"DPY30",-0.288811002209341,0.220113322499277,0.306409996929615
"DPYD",-0.478262334603534,2.08547378379295e-05,0.000121127769508256
"DPYSL2",-0.825325204808391,1.21483561142719e-09,1.28020785843119e-07
"DPYSL3",-0.738001272267375,7.13716626477805e-08,1.53980224634707e-06
"DPYSL4",-0.727957560671349,0.0220756116820277,0.0441421443545214
"DPYSL5",-0.509398838377794,0.0828126112311981,0.13614029274931
"DR1",0.0721773068336076,0.263290362351939,0.355588261598647
"DRAP1",0.336572949659765,0.000638863203923855,0.00215256611051822
"DRG1",-0.131373475201541,0.113142097912646,0.177221933006213
"DRG2",-0.0537522181129496,0.504098532414453,0.597787088926602
"DROSHA",0.373356766718709,5.4858602001521e-05,0.00027382151153886
"DSC2",0.37373022648269,0.0750492505811111,0.125477804788639
"DSCC1",-0.326171489811762,0.0475754651425623,0.0853234642283799
"DSCR3",-0.599421722418948,5.3099731294869e-09,2.82153982028036e-07
"DSG2",0.0848563586412869,0.758257951152923,0.816805175253243
"DSG3",0.329516825194804,0.214521903229373,0.300059117808174
"DSN1",0.139401596186465,0.0582997595070422,0.101251448731287
"DSP",0.672244197023197,8.03840748203767e-06,5.52796848340412e-05
"DST",0.0771888934035164,0.742629690838817,0.804784477177829
"DSTN",0.183357119748008,0.0222970756369772,0.0445300397399808
"DSTYK",-0.314417364229475,0.594472961224201,0.679198105386456
"DTD1",1.02323552131358,1.06132368124723e-06,1.09790547621788e-05
"DTL",0.13262663075843,0.0492945845227574,0.0879201283747787
"DTNA",0.199511694527884,0.0814732563143284,0.134187998712827
"DTNB",-0.144619491133584,0.807323501643292,0.856657980137426
"DTNBP1",-0.049257926638321,0.912378709186744,0.937146991457896
"DTWD1",-0.713472495455139,5.51713312101959e-07,6.69770317962478e-06
"DTWD2",-0.517166144293147,0.00104296214762658,0.00326942744149609
"DTX2",0.582173474486738,2.23445731341725e-05,0.00012817697328432
"DTX3",-0.535825465327143,0.000121450178726708,0.000532933907011961
"DTX3L",0.355802794069507,0.000302846934408166,0.0011521453795716
"DTYMK",0.089452972692012,0.303151675975686,0.398573133746291
"DUS1L",0.214514536383087,0.00557710840672515,0.0135444061306182
"DUS2",0.0425041341315307,0.366467102568497,0.463397412922766
"DUS3L",0.286683014390342,0.000296539472276352,0.00113347084450285
"DUSP11",0.548911164185218,0.00023227246647667,0.000922637852948997
"DUSP12",-0.264204723897573,0.00968517565136866,0.0217905247649026
"DUSP14",-0.579202040823206,0.0152372612863491,0.0321543248152037
"DUSP16",0.607067318512341,0.00571110216976733,0.0138214926577445
"DUSP19",0.0934749084573223,0.289869206126701,0.384519555694924
"DUSP22",0.0801695694325442,0.0905952717755746,0.147066569976353
"DUSP23",-0.226664860426321,0.00370810899229571,0.0096025703970928
"DUSP27",-0.640607548183753,0.788533973991321,0.842327184784313
"DUSP3",-0.856177680543685,1.67340504449106e-11,3.67343430378673e-08
"DUSP4",-0.478580847652333,0.741424387184152,0.803926264605118
"DUT",0.0188320064886619,0.69362681066301,0.765240198194589
"DVL1",-0.0343652707130178,0.506505392595755,0.599982755220017
"DVL2",-0.016297657476635,0.906831079157364,0.933223136175914
"DVL3",0.29789014844048,0.00171316952264245,0.00499665879969263
"DXO",-0.11177701616651,0.84174589459672,0.883387354950717
"DYM",0.318123325398722,0.0026249302893982,0.00716788040834263
"DYNC1H1",0.106579641411189,0.0681158228266227,0.115650049858752
"DYNC1I1",-0.146265036876887,0.29657305114218,0.39172457882458
"DYNC1I2",-0.225886686679815,7.54518509429056e-05,0.000358381459143626
"DYNC1LI1",-0.237032881716343,0.00103166071664825,0.00324655948501215
"DYNC1LI2",-0.154594232289908,0.0317881014235772,0.0602313909280719
"DYNC2H1",-0.344225211957206,0.0191661421268621,0.0390143533685591
"DYNC2LI1",-0.771886648100186,0.0360253520406919,0.0671607598243268
"DYNLL1",-0.218176615727361,0.169826658624415,0.247808287584605
"DYNLL2",-0.18703452022795,0.101190539894243,0.16149299358799
"DYNLRB1",-0.525884105354757,9.85901187800793e-05,0.00044656715041356
"DYNLT1",-0.305370311944029,0.0301322275621515,0.0575176603433553
"DYNLT3",-0.765580070489018,4.39186391303073e-08,1.07595718263599e-06
"DYRK1A",-0.39528044801275,0.00704776559415774,0.0165657415125912
"DYRK1B",-0.262846890658475,0.551075322042455,0.639915981793747
"DYSF",-0.319374731917661,0.0107028995951606,0.0237397344122585
"DZIP3",-0.397720465797293,0.727605295199834,0.793187655888249
"E2F3",-0.720863114698961,0.0862565162235083,0.140944104143404
"E2F4",-0.102051087518492,0.553117800002779,0.641598173354052
"E2F5",-0.552397580639777,0.282954945223288,0.376705077676787
"E4F1",0.321852562162371,0.00433614699159481,0.0109348271126214
"EAF1",0.451004991436588,3.61610503839748e-05,0.000193842367107922
"EAPP",0.0167438156403823,0.198572305263454,0.281926864707523
"EARS2",0.305564379060509,0.00169116247942322,0.00494136536956472
"EBAG9",-0.150815359678599,0.871658211805531,0.906233770084142
"EBNA1BP2",0.419961033451135,0.000179247662744068,0.000740129202769987
"ECD",-0.349048470423666,0.00504684522959674,0.0124367772459703
"ECE1",0.154649643749129,0.19761785774088,0.281019935012252
"ECE2",-0.40780823621551,0.105114318237942,0.166754382598927
"ECH1",-0.00447819172371698,0.987570434068629,0.990626666070079
"ECHDC1",-0.927874310619098,3.25787605631591e-06,2.67112873285126e-05
"ECHDC2",-0.746714805770751,4.63503209210239e-07,5.85338338488359e-06
"ECHDC3",-0.350532801281662,0.127172439785796,0.195143570218886
"ECHS1",-0.517703455015752,2.85913145912132e-06,2.40503410973146e-05
"ECI1",-0.310540579400713,0.00811901364337639,0.0187039300327392
"ECI2",-0.391946841920386,0.00228855703213741,0.00636736153948616
"ECM1",-0.41246741730675,0.0134849680643121,0.0289082516440412
"ECM2",-0.551571425755761,0.0110423750439957,0.0243759489052927
"ECSIT",-0.0481314619152058,0.876555593308946,0.910254868574989
"ECT2",-0.208266236863706,0.912016239096753,0.936873643458359
"EDARADD",-0.470420361535503,0.0717524904793608,0.120733901612961
"EDC3",0.252683026031977,0.000322450312045712,0.00121578396057872
"EDC4",-0.0790864953627053,0.199072428587786,0.282554414769761
"EDEM2",-0.468888705029185,0.039688355182924,0.0729756969935769
"EDEM3",-0.0203937590963538,0.849480019232723,0.889913064042433
"EDF1",0.951646358373303,1.28103304054322e-08,4.75615180858298e-07
"EDIL3",-0.333389930796065,0.115800827984237,0.180774964090339
"EDRF1",-0.149709199050111,0.824486687206983,0.870404181753612
"EEA1",0.167215321185452,0.0155497088084674,0.0327142727073857
"EED",0.167168091949053,0.00580555069302598,0.014014425857063
"EEF1A1",-0.806432862725217,1.82974908209334e-07,2.91584128981816e-06
"EEF1A2",-1.27459327055491,0.000593675273647802,0.00202913826395474
"EEF1B2",-0.212171619883503,0.0220221119090777,0.0440623490131423
"EEF1D",0.545643944206036,1.87324404123336e-09,1.51795208807943e-07
"EEF1E1",-0.0150442040940765,0.919674335433351,0.943046845697976
"EEF1G",0.00611845247722856,0.9335875773756,0.952492456447418
"EEF2",0.045574292353007,0.497752715304685,0.591849768112345
"EEF2K",0.154644843750398,0.0572474923774776,0.0996910128722406
