,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
MVB12A,0.1004,0.1797,0.2645,0.302,0.4182,0.2774,0.4032,0.4903,0.087,0.1082,0.155,0.3254,0.3525,0.3169
SP140L,0.5065,,,0.6052,0.6049,0.4162,0.5988,0.4393,0.6177,,0.3998,,0.739,0.3979
MMGT1,0.0783,0.0705,-0.0493,0.1997,0.3381,0.091,0.4097,0.1363,0.2131,-0.1289,-0.0192,0.1089,0.1375,0.2943
MYL10,-0.1212,0.0967,0.2106,,0.0897,,,,,,,,,
ARMC6,0.3797,0.5121,0.2083,0.7015,0.5225,0.5461,0.7805,0.4863,0.5441,0.222,0.0959,0.2406,0.6243,0.5517
MAPK1IP1L,0.2866,,,-0.0195,,,,-0.0324,0.215,,,,,0.4446
TRMT10A,0.4242,0.31,-0.1256,0.2922,0.5152,0.0237,0.6443,0.7004,0.5823,,0.2048,,0.4211,0.2214
TBC1D31,0.0151,,,,-0.1397,-0.1497,0.1769,0.3259,0.059,,,,0.2375,
FBXO44,0.3092,0.1991,,0.3069,0.508,0.5789,0.3556,0.4949,0.3675,0.0628,0.2652,0.4486,0.7023,0.6295
MRFAP1,0.2998,0.2438,0.4622,0.0986,0.2136,0.0043,0.2692,0.143,-0.0507,,,-0.0555,0.1198,0.3611
TADA2B,0.0014,-0.0385,,-0.2273,0.0261,-0.0282,-0.0236,0.1698,0.1453,,0.2254,,-0.0472,0.1719
TBCK,0.2022,0.2773,0.1176,0.4056,0.1836,0.047,0.328,0.2241,0.0605,0.1461,0.215,0.0281,0.1575,0.2892
TJAP1,0.3245,0.2186,0.0496,0.6146,0.2354,0.2488,0.4506,0.4295,0.0497,-0.5529,0.0251,0.1898,0.1983,0.3862
ARHGAP18,0.46,0.2038,0.4676,0.8331,0.5156,0.789,0.8997,0.8684,0.8819,0.6186,0.6504,0.6521,0.9071,0.5968
CADPS2,0.8327,0.1808,0.1634,0.6409,0.3619,0.6041,0.912,0.8487,0.814,0.396,0.5928,0.4843,0.4327,0.7536
ACTR8,0.3337,0.141,,0.2004,0.3245,0.1981,0.3734,0.3078,0.2901,,0.1186,,0.3423,0.1898
ATPIF1,0.3369,0.1716,0.234,0.4574,0.6089,0.2381,0.4672,0.6142,0.6451,0.0693,0.4216,0.2723,0.2971,0.5312
PIGS,0.1551,0.1765,0.2634,0.3179,0.322,0.3904,0.3071,0.4072,0.2984,0.1261,0.3393,0.3122,0.3875,0.3945
MUC16,0.4735,,0.2387,0.4417,0.5302,,0.6513,0.6497,0.7173,,0.7482,,,
HTRA3,0.5309,0.2296,0.3896,0.7255,0.448,,0.7496,0.6671,0.4654,,0.3151,,,0.2337
SYAP1,0.7302,0.4952,0.5148,0.5386,0.7449,0.743,0.6182,0.7583,0.8586,0.1194,0.5633,0.3028,0.7296,0.6311
LENG9,0.4042,,0.0768,0.2749,0.3923,0.4108,0.4713,0.4049,0.5321,-0.0241,0.3403,,0.478,
SFXN1,0.6201,0.1363,0.3818,0.6378,0.6534,0.4438,0.6727,0.6089,0.5071,-0.0338,0.4842,0.2897,0.0298,0.6999
SFXN5,0.7475,0.2921,0.3396,0.1443,0.4588,0.5182,0.3208,0.542,0.4974,-0.2892,0.3345,0.6805,0.6347,0.501
ORMDL1,-0.0235,-0.0377,-0.178,,0.1989,0.2494,0.179,,-0.1017,0.1147,,,,-0.0639
ORMDL3,0.4173,,0.1451,,,,,,,,,,0.0947,0.5569
PAXBP1,0.398,0.0033,0.1625,0.4615,0.1574,0.2728,0.5169,0.3395,0.2615,0.0155,0.0749,0.2707,0.4298,0.2079
SYTL3,0.4077,,,0.4631,,,0.6238,0.2676,0.5188,-0.0247,0.1667,,,
SYTL4,0.8074,0.5189,0.3828,0.5528,0.4958,0.8545,0.7442,0.6876,0.8174,0.5459,0.636,0.5138,0.8504,0.7914
SYTL5,0.594,0.2758,-0.051,,,,,0.6181,,,,,0.3785,
ARHGAP12,0.659,0.2977,0.312,0.6278,0.5888,0.4925,0.7838,0.8093,0.8205,0.3745,0.7952,0.5513,0.7473,0.6788
H2AFV,-0.1117,0.1872,0.1448,0.3227,0.1427,0.0096,0.0546,0.0386,0.0472,,-0.1365,0.1654,-0.0172,0.3575
EPSTI1,0.5088,0.4012,0.4532,0.8673,0.6541,0.755,0.8432,0.7499,0.6295,,0.5399,,0.6039,0.6922
PPP1R14A,0.48,0.409,0.3864,0.4786,0.7406,0.8001,0.5763,0.7334,0.7676,0.3279,0.614,0.6534,0.8243,0.7049
CEP41,0.6236,0.0602,0.2372,0.7314,0.5863,0.7117,0.755,0.6912,0.7723,0.0671,0.5792,0.5315,0.6356,0.5526
FNIP1,0.3792,,,-0.0086,0.1254,0.0152,0.3453,0.1562,0.1581,,0.0619,,0.1657,0.1073
TGS1,0.4883,0.1542,0.1218,0.5607,0.4324,0.3237,0.765,0.54,0.5987,,0.1362,,0.4112,0.5153
CAVIN3,0.217,0.27,0.3282,0.506,0.4142,0.27,0.5366,0.2999,0.6074,0.1855,0.2579,,0.6424,0.4032
SAT2,0.3993,0.0912,,0.3754,0.4199,0.3955,0.374,0.4455,0.4418,-0.0371,0.1549,0.0488,0.2887,0.6711
DTD2,0.3587,0.0593,,0.2116,0.2959,0.4286,0.2743,0.475,0.1099,0.3419,0.1087,0.3902,0.3348,0.4217
GTF3C6,0.184,0.3357,,0.0966,0.3518,0.195,0.3158,0.2475,0.1697,,0.0201,-0.1786,0.1289,0.4561
SNX18,0.4714,0.3151,0.5076,0.5831,0.4146,0.6944,0.6705,0.7323,0.5187,0.2976,0.4438,0.5861,0.6898,0.5158
RWDD2A,0.2042,,,,,0.3764,-0.0397,0.1533,0.2081,-0.3878,,,0.4614,0.1962
RDH13,0.3662,0.217,0.3352,0.4028,0.5443,0.7698,0.4744,0.5865,0.5945,0.3375,0.4431,0.5132,0.5941,0.5482
IFT43,0.3626,,,0.1254,0.1884,0.3659,0.4853,0.3556,0.6094,,-0.0839,0.3339,0.167,0.2044
GLMP,0.3062,,,0.3861,0.1439,0.2987,0.2214,0.3508,0.4701,0.2189,0.165,,0.6065,0.3372
FDX2,0.0381,0.0891,0.0674,0.2475,0.4619,0.2146,0.2626,0.2712,0.1443,-0.3064,0.0683,,0.3245,0.044
WDR89,0.4175,0.3324,-0.0754,0.381,0.4017,0.4379,0.4958,0.5836,0.5429,,0.296,0.4344,0.606,0.3347
L3HYPDH,0.1947,0.1557,0.1992,0.5391,0.3259,0.6372,0.3262,0.3824,0.129,0.102,0.1352,0.2842,0.536,0.595
TP53RK,-0.0372,0.2791,-0.0225,0.1405,0.0534,-0.0586,0.2682,0.1977,0.1031,0.051,0.0384,0.2948,0.3248,-0.1409
SGF29,0.1274,0.0076,,0.2178,0.0188,0.0049,0.3181,-0.0349,0.2305,-0.0682,-0.0409,0.3806,0.2226,0.2334
VPS26B,0.5225,0.304,0.2353,0.7004,0.7076,0.512,0.4724,0.6029,0.4183,0.2183,0.3407,0.558,0.5871,0.6584
NACC1,0.4167,0.235,0.1705,0.4333,0.5453,0.2698,0.5246,0.4192,0.3547,-0.0041,0.0696,-0.0137,0.1337,0.3221
CFAP36,0.5107,0.1592,0.1935,0.6175,0.4876,0.7393,0.7981,0.5488,0.7315,-0.0954,0.3395,0.5194,0.5897,0.4776
MED8,0.1326,-0.0769,-0.1394,-0.1621,0.1304,0.0064,-0.0271,0.1862,0.0734,0.1262,-0.0619,0.1001,-0.0535,0.231
KTI12,0.4099,0.155,0.0735,0.4123,0.1308,0.3825,0.5069,0.3479,0.3353,,0.0553,0.2429,0.414,0.4331
RPUSD1,0.1598,,,,,,0.2015,,0.222,,,,0.1958,
PLCD3,0.5178,0.2207,0.401,0.5407,0.6339,0.6756,0.5044,0.3687,0.6262,0.0947,0.4158,0.6751,0.6568,0.0535
CDCA5,0.5673,,,0.7276,0.5154,,0.7633,0.8004,0.7057,,0.3941,,0.7908,
AHNAK2,0.706,0.3295,0.4498,0.868,0.6823,0.8303,0.919,0.8889,0.8858,0.4727,0.8225,0.7487,0.7728,0.2391
SAAL1,0.5662,0.5741,0.4485,0.733,0.469,0.2401,0.7505,0.4853,0.6668,-0.0778,0.3942,0.4631,0.6824,0.6241
SCAMP4,0.4494,0.1475,0.1051,0.266,0.3729,0.3709,0.311,0.5462,0.5672,0.2897,0.0367,0.5404,0.2973,0.5751
ADAT3,-0.0524,,,-0.0159,,0.0411,0.1254,0.3247,0.2405,,0.0757,,0.0656,
CHST14,0.3399,0.2527,0.1538,0.6988,0.4749,0.3546,0.6316,0.3578,0.2883,-0.2593,0.4484,,0.5509,0.5962
CASC4,0.3417,0.3041,0.3389,0.6388,0.5311,0.5391,0.6073,0.5434,0.4723,0.3927,0.4517,0.433,0.5004,0.3007
KIF12,0.4735,,,,,0.7296,,,0.4348,,0.4408,,,0.0029
MISP3,0.5974,0.0987,0.5863,,,0.4414,0.4358,0.729,0.7357,,0.5133,,0.166,0.6669
C12orf57,0.4155,0.1905,0.1612,0.2956,0.4,0.5045,0.3989,0.3448,0.3826,-0.0698,0.3132,,0.2926,0.5087
LARP4,0.2438,0.3559,0.2438,0.4667,0.5273,0.6863,0.5553,0.7619,0.5271,0.2807,0.312,0.1289,0.4167,0.4681
GLCCI1,0.5275,0.1877,,0.3851,,0.3764,0.7152,0.7359,0.4191,,0.2714,,0.6562,0.0818
SMIM12,0.3076,0.2745,0.3053,0.4284,0.5721,0.2337,0.5238,0.4653,0.4423,,0.3425,,0.3588,0.4998
MFSD3,0.5008,,,0.4495,,,,,,0.2253,,,0.326,0.3868
SDSL,0.2285,0.2488,0.1928,0.4886,0.3663,0.4798,0.4514,0.4518,0.4318,0.138,0.2147,0.4624,0.3577,0.6808
KLHDC7B,0.5114,,,0.666,,,0.3539,0.3178,,,0.3462,,,
HENMT1,0.4444,,,,,,,,,,,,,
FAM83F,0.6086,0.4806,0.3749,0.7205,,0.3229,0.8927,,0.7017,,0.2816,,,0.0653
DTX2,0.335,0.2582,0.2499,0.5074,0.1944,0.3059,0.6997,0.5926,0.6372,,0.1941,,0.3527,0.3107
TOE1,0.5745,0.1662,0.2314,0.6114,0.5777,0.292,0.666,0.517,0.4973,,0.4363,,0.4813,0.6544
BUD23,0.3667,0.3107,0.2511,0.535,0.4567,0.5007,0.5248,0.4002,0.4931,,0.2244,,0.5808,0.391
TRIM9,0.5003,,,0.6516,,0.8283,0.3066,,0.3328,,,0.7491,0.7371,
TXNRD3,0.5564,0.0728,,0.3154,0.1857,0.567,0.695,0.2367,0.6239,0.0229,0.0892,0.042,0.6437,0.2298
LACTB,0.6745,0.3428,0.2853,0.5351,0.6245,0.654,0.576,0.7244,0.675,0.2856,0.4291,0.3859,0.639,0.6985
CYGB,0.3695,0.4707,0.4591,0.7534,0.5767,0.8728,0.548,0.6831,0.8039,0.2804,0.7143,0.5185,0.6993,0.4482
CARD16,0.4665,0.3561,0.554,0.7823,0.645,0.7611,0.7752,0.6838,,,0.4694,,0.8231,0.7628
PGLYRP2,0.0258,0.0765,-0.0278,0.0856,-0.0199,0.1121,-0.1808,0.0965,0.0323,0.1156,0.032,0.1103,0.1083,0.385
BTBD9,0.2389,0.0301,,0.2125,0.0576,,0.184,0.4968,-0.123,,,,0.0935,0.0205
GPRIN1,0.4524,,,0.5238,0.4308,0.2464,0.5627,0.5853,0.5691,,0.2083,0.7539,0.6226,0.5453
SLC25A25,0.5607,-0.0475,0.0762,0.1833,0.2179,0.2392,0.538,0.2348,0.4318,-0.1248,0.2842,0.293,0.5311,0.4651
STK11IP,0.2205,0.0909,0.056,0.2292,0.2474,0.4573,0.0866,0.333,0.0388,0.1716,0.0543,0.1036,0.1347,0.0814
TUBGCP5,-0.0365,,,0.2582,,-0.131,0.2726,0.2843,0.3081,,0.1483,,0.2362,
FMNL2,0.5571,0.3082,0.2188,0.8443,0.6362,0.7735,0.8083,0.59,0.7321,0.1289,0.5409,0.6781,0.8189,0.7565
ESCO1,0.2113,,,0.4208,,-0.0054,0.704,0.3272,0.3639,,0.0442,,0.1989,-0.0109
MYSM1,0.2336,-0.067,,-0.0046,0.0053,0.2062,0.4185,0.1655,0.3185,,-0.0095,,0.0435,0.0293
RHPN1,-0.0515,,,,,,,0.1918,,,,,,
LENG8,0.2042,-0.2293,0.0562,-0.0964,0.2883,0.2457,-0.0416,0.2703,0.2015,-0.1052,0.1253,0.0873,0.1356,0.2413
PNMA5,-0.0124,,0.2855,0.2258,,,0.1672,,,,,,,
PWWP2A,0.1075,0.159,,0.3446,0.2167,0.6171,0.3158,0.4947,0.3741,,0.2489,,0.1137,0.3095
SMYD4,0.317,0.082,,0.0151,,0.0428,0.24,0.2685,0.2614,,0.3449,,0.4815,0.204
FHAD1,-0.0998,,,,0.0422,,0.0381,-0.0673,0.6259,,,,0.1823,
OSBPL1A,0.7455,0.2527,0.3437,0.794,0.5224,0.6308,0.7747,0.7635,0.8322,0.0357,0.694,0.6881,0.8867,0.7084
OSBPL5,0.4218,0.164,0.2174,0.4974,0.2188,0.1788,0.5716,0.7208,0.497,0.2945,0.2739,0.1713,0.463,-0.0588
OSBPL6,0.7199,0.0388,,0.7406,,0.4266,0.8612,0.5512,0.5848,,0.2296,0.5594,0.8459,0.8124
OSBPL7,0.1939,0.2516,,0.2865,0.2911,0.3415,0.5088,0.5433,0.3379,,0.47,,0.3903,0.2193
OSBPL8,0.4036,0.2959,0.3689,0.4999,0.4224,0.4814,0.545,0.5948,0.2223,0.4369,0.2186,0.46,0.4265,0.2847
OSBPL9,0.5536,0.1954,0.2044,0.444,0.3164,0.3819,0.5761,0.4825,0.4647,0.2527,0.2738,0.2995,0.5275,0.4635
OSBPL10,0.6453,0.1674,0.2548,0.7303,0.4356,0.7909,0.7832,0.753,0.74,0.5864,0.4975,,0.8386,0.4364
OSBPL11,0.2954,0.139,0.1631,0.6674,0.5428,0.5392,0.6749,0.6603,0.6701,0.0153,0.3632,0.5176,0.7159,0.5648
C1QTNF3,0.7699,0.4269,0.1186,0.5762,0.5465,0.5086,0.6991,0.5916,0.1646,,0.8498,,0.3831,0.2288
C1QTNF6,0.1773,,,,0.5538,,0.5795,,0.2748,,0.4387,,,
SMIM19,0.4669,,,,,0.1943,0.6344,0.5565,0.3745,,,,,0.4976
GPRASP2,0.434,0.2583,,0.4068,,0.5145,0.6809,0.488,0.7425,,-0.0088,0.1772,,0.3027
PTPMT1,0.4619,0.1856,-0.0995,0.4446,0.4589,0.3924,0.4214,0.5343,0.4879,-0.0254,0.0868,0.2961,0.3465,0.2853
FLYWCH2,0.6153,0.1394,0.3164,0.4614,0.5299,0.338,0.6329,0.6746,0.454,0.0788,0.1266,0.3605,0.3342,0.6026
VASN,0.517,0.3037,0.2364,0.4775,0.5352,0.498,0.7298,0.6596,0.6526,0.5031,0.4283,0.5822,0.6578,0.7102
ZNF618,0.5518,0.1207,,0.1651,0.3256,0.4125,0.6084,0.6371,0.6766,,0.3642,,0.6755,0.636
MB21D1,0.5646,0.5457,0.6709,0.7277,0.5413,0.1389,0.8294,0.7656,0.8322,,0.4417,,0.7856,0.4467
NT5C3B,0.5686,0.277,,0.6704,0.2427,0.6695,0.6981,0.5286,0.5248,,0.3958,0.1736,0.4779,0.4493
CCDC124,0.2417,0.3501,0.2413,0.4611,0.5292,0.2267,0.6792,0.5867,0.4807,0.2859,-0.0549,0.3077,0.4036,0.5321
HAUS1,0.3547,0.1383,0.4596,0.3361,0.2924,-0.1211,0.5168,0.5021,0.3827,,0.0498,0.5785,0.5514,0.4746
ATG4A,0.2836,0.2307,,0.3251,,0.2775,0.5623,0.6455,0.5242,,0.175,0.4439,0.5375,0.5285
KCTD12,0.5721,0.6052,0.5838,0.7141,0.753,0.8362,0.837,0.6896,0.8832,0.5024,0.4911,0.7002,0.8647,0.6779
OMA1,0.2354,0.0646,0.2268,0.2189,0.4649,0.2639,0.4866,0.5124,0.2893,0.2299,0.1092,,0.2927,0.5568
SLC25A26,0.1824,-0.0997,,0.4688,,0.2001,0.2315,0.0563,-0.0093,,,,0.0706,0.4341
PCMTD1,0.5489,0.3852,,0.396,0.4886,0.3493,0.5715,0.5958,0.6641,0.2939,0.2141,,0.3149,0.4823
LRRC42,0.5436,,,0.4845,0.2337,0.3086,0.4569,0.36,0.4072,,0.2189,,0.2783,0.3037
GBP4,0.7338,0.4832,0.6142,0.8858,0.7853,0.8354,0.8077,0.8853,0.9164,0.0223,0.798,0.6302,0.8816,0.723
GBP5,0.8036,0.6118,0.6249,0.9267,0.7322,0.9212,0.8869,0.9142,0.8992,0.2376,0.8113,,0.8298,0.7894
MALSU1,0.119,0.3101,0.1409,0.3096,0.226,0.2572,0.2467,0.4119,0.2355,,,,0.1328,0.3407
UHRF2,0.5208,-0.0667,0.2374,0.5441,0.6138,0.611,0.6191,0.6337,0.5157,-0.0157,0.3939,,0.6086,0.5559
FCHO2,0.4507,0.1919,0.2824,0.7282,0.6792,0.6221,0.7533,0.8067,0.6565,-0.1541,0.5196,0.5447,0.6981,0.4229
NOSTRIN,0.7749,0.2446,0.4775,0.4393,0.4003,0.8964,0.5579,0.7795,0.8,0.3481,0.7512,,0.5758,0.6666
ALPK2,0.0299,,0.0496,0.1468,-0.0006,0.6883,0.173,-0.0299,-0.2265,,,,0.2053,0.0824
EVI5L,0.3597,0.2847,,0.5213,0.4057,0.5497,0.6217,0.5963,0.4697,,0.0602,0.7574,0.7274,0.388
TRMT61A,0.2756,0.0361,0.2363,0.53,0.1687,0.1726,0.4797,0.4855,0.2475,-0.0145,0.0275,0.2966,0.1824,0.3256
RASGRP4,0.0035,,,,,,0.4976,0.2886,,,,,,
DIS3L,-0.0408,0.1236,-0.0323,0.0487,0.1576,0.0415,0.214,-0.0299,0.2309,,-0.0456,,0.1385,-0.0167
ARL11,0.1202,,,0.3798,,,0.479,0.5271,,,,,,
DHRS1,0.5915,0.2463,0.4472,0.6361,0.6153,0.6482,0.5333,0.6575,0.6278,0.3675,0.5268,0.6396,0.5676,0.8085
WDFY2,0.216,0.0623,,0.5835,,0.3215,0.5314,0.1996,0.1007,,0.2431,,0.3093,0.3728
RAB3C,-0.0078,0.3402,,-0.1949,,0.1693,,0.1243,,,0.338,0.5557,0.6748,0.3036
CTHRC1,0.6154,0.3456,0.5511,0.8711,0.776,0.7067,0.7969,0.8268,0.842,,0.6192,0.7501,0.8737,0.8065
TSR3,0.339,0.2566,,0.5056,,0.2803,0.3223,0.4863,0.2831,,0.0516,,-0.0596,0.4602
CCDC151,0.0495,,,,,-0.1322,0.335,0.4103,,,,,,
RNF166,0.25,,,0.4898,,0.0526,0.6694,0.2329,0.1494,,0.1412,,0.2045,0.166
RMI2,0.3615,,-0.1414,0.3999,,,0.7226,,0.3345,,,,,
LRRC58,-0.0495,-0.1347,,0.0175,,0.1988,0.1038,0.1656,,,0.0022,,0.0613,0.0497
LYSMD3,0.26,0.1629,,0.2701,,0.2498,0.3887,0.2978,0.1775,,-0.0543,,-0.0134,0.5111
DNTTIP1,0.0393,-0.0025,0.0451,0.0425,0.0748,-0.3434,0.1249,0.1212,0.1694,-0.1686,0.1455,,0.1469,0.3628
FOXP4,0.5711,0.3704,-0.0482,0.4261,0.41,0.231,0.3908,0.4938,0.4395,-0.0647,0.0774,,,0.4059
ZNF526,0.0926,,,0.3743,0.2612,0.0442,0.2442,0.1824,0.0194,,0.1088,,0.2692,
KLHDC3,0.3483,,,0.2345,,0.2041,0.5514,0.2515,0.1284,,0.1288,,0.2821,0.1667
WDR92,0.2497,0.1973,0.2007,0.4387,0.2033,0.0413,0.5207,0.3404,0.4978,-0.0205,0.1728,0.6319,0.2484,0.1486
NUS1,0.1311,0.0383,,0.3094,,0.1548,0.3268,0.2165,0.171,,,,0.463,0.234
FAM210B,0.4487,0.1306,0.5754,0.7129,0.6214,0.2847,0.7317,0.587,0.4377,0.4363,0.3912,,0.4991,0.6515
FAM122A,0.4378,0.1853,,0.2137,0.1238,0.505,0.4061,0.1515,0.2522,,0.2106,,0.2517,0.2905
COX20,0.4628,0.2391,0.3306,0.2085,0.5218,-0.0765,0.3861,0.2672,0.2729,-0.0801,0.1094,,0.1422,0.5383
TLCD1,0.259,,,,0.4324,,,0.3511,,0.2787,,,,0.3489
ACSM1,0.2367,,,,,,,,,0.5166,,,,0.8892
RBP7,0.779,0.3162,,0.6577,0.5861,0.9284,0.7982,0.6215,0.7741,,0.6177,0.6334,0.8068,0.6287
RAB39B,0.0243,0.1486,,,0.1961,,0.2098,-0.0963,,0.0733,,0.3234,0.5667,
TSEN15,0.2162,-0.0192,-0.0772,0.2171,,0.0272,0.3338,0.1898,0.2539,,-0.176,,-0.0063,0.3067
FAM129A,0.7333,0.3446,0.4612,0.7929,0.6419,0.8079,0.8874,0.9065,0.8918,0.4784,0.6894,0.812,0.9138,0.7664
MRPL53,0.1487,0.2244,0.2854,0.0535,0.126,-0.0688,0.1939,0.1825,0.133,0.1752,0.1168,0.421,0.2464,0.0757
MRPL54,0.1742,0.4089,-0.0382,0.255,0.3774,0.048,0.1166,0.1619,0.065,0.1596,0.1378,0.2482,-0.0356,0.034
HSPA12B,0.6076,0.375,0.2804,0.7173,0.4811,0.8619,0.5119,0.4052,0.7199,-0.0437,0.533,0.2676,0.6607,0.7402
CNTROB,0.2711,0.3457,,0.1722,0.1095,0.3042,0.1156,-0.0364,0.0906,,0.0115,,0.0471,0.246
SNAP47,0.3779,-0.0163,,0.611,0.2664,0.2047,0.5125,0.542,0.4419,,0.156,0.3322,0.1956,0.4155
LRG1,0.2065,-0.0715,0.0151,0.1758,0.0628,0.1261,0.2749,0.0823,0.312,0.5642,-0.1932,0.3758,0.4037,0.5463
ACAP3,0.1231,-0.137,-0.0034,0.0883,-0.2642,-0.1284,0.2145,0.037,0.3132,,0.0346,,0.6044,0.089
ARAP2,0.2343,-0.213,0.2162,0.5666,0.3413,,0.7712,0.6226,0.388,,0.032,,0.8864,0.1533
ARAP1,0.5456,0.2581,0.071,0.747,0.4788,0.5145,0.5376,0.4572,0.4016,0.28,0.4142,0.4307,0.56,0.3227
AGAP2,0.3601,0.1798,,0.4551,,0.586,0.8294,0.6486,0.3815,,0.4639,0.5316,0.7315,0.2448
AGAP1,0.4419,0.3882,0.0784,0.4541,0.3185,0.5976,0.609,0.6284,0.4051,0.2103,0.3307,0.6728,0.7441,0.4604
AGAP3,0.2739,0.0703,0.0558,0.5518,0.553,0.4781,0.5402,0.5647,0.4563,0.0988,0.0903,0.6324,0.3885,0.38
TADA1,0.2139,-0.0949,,0.1725,0.0195,-0.0794,0.4537,0.1373,0.2734,,0.1758,,0.247,0.3474
THEM4,0.6582,0.366,0.3972,0.6324,0.5009,0.4483,0.7267,0.7141,0.5647,,0.6265,,0.5635,0.4092
DCD,0.234,,-0.0732,,,,,0.1122,,,,-0.0368,,-0.0936
RAB3IP,0.5785,0.0923,0.4684,0.6109,0.4173,0.8479,0.6696,0.8081,0.474,0.2333,0.4373,0.8037,0.7202,0.4853
SSX2IP,0.2777,,,-0.0556,0.2388,-0.1371,0.2309,,0.4885,,,,0.5557,0.4227
FTSJ3,0.4089,0.2634,0.4072,0.629,0.4469,0.4687,0.6592,0.494,0.391,0.0938,0.4432,0.3027,0.5174,0.3312
TAGAP,0.1643,,,,,,0.1679,0.2143,0.1558,,,,,
PARD3B,0.4097,0.2147,0.1275,0.0528,0.3692,0.6545,0.6389,0.7564,0.7369,,0.7608,,0.5759,0.5172
RFFL,0.2125,0.0752,,0.1987,,0.1228,0.6033,0.3591,0.475,0.1417,0.1558,,0.6911,0.3185
UBE2J2,0.2557,0.3188,,0.2256,0.3805,0.2734,0.3834,0.4551,0.1118,0.1385,0.0631,,0.3075,0.4931
BORCS5,0.2676,-0.0397,-0.095,0.2914,0.2937,0.2802,0.3751,0.3078,0.2949,-0.0409,0.2101,0.1161,0.3657,0.3181
OLFM3,0.0987,,,,,,,,,,,,0.5483,
ANTXR2,0.4402,0.2735,0.3998,0.7311,0.5681,0.6455,0.8404,0.7028,0.6746,0.2748,0.5122,,0.6293,0.5825
MUCL1,0.3824,,,,,,,,,,,,,
EXOSC6,0.1299,0.2397,0.1544,0.196,0.1493,-0.0639,0.2813,0.1109,0.0361,0.2493,-0.0059,0.188,0.2249,0.3042
ZNF511,0.0568,,,0.4649,0.3326,0.4508,0.3795,0.2571,0.103,,,,0.3786,0.4163
CHCHD1,0.1341,0.0039,-0.0025,0.1589,0.2877,0.1398,0.2815,0.117,0.199,-0.0521,0.2305,,-0.1451,0.1002
PIK3AP1,0.5556,0.2648,0.3221,0.8072,0.3572,0.8897,0.8808,0.8094,0.8402,0.0993,0.7803,,0.8824,0.6628
ZFYVE27,0.1111,-0.0781,,0.3791,0.2182,0.3925,0.3901,0.3751,0.3521,,0.2751,,0.5316,0.4402
COMTD1,0.4511,0.1176,0.3266,0.5548,0.525,0.3726,0.5925,0.6488,0.6676,0.1568,0.4712,,0.3477,0.5426
FRA10AC1,0.452,-0.0825,,0.248,0.3468,0.2405,0.305,0.3223,0.3617,,0.1426,,0.3674,0.4958
ANKRD22,0.6609,0.3471,0.4789,0.7915,0.4111,0.5189,0.8791,0.8347,0.7834,0.3485,0.5702,,0.5634,0.6185
SFXN2,0.8068,0.169,0.3904,0.7125,0.6938,0.1934,0.6761,0.5759,0.6016,0.6236,0.5435,,0.4711,0.7748
PDZD8,0.2247,0.231,0.2388,0.5235,0.3006,0.5054,0.6226,0.4961,0.6981,0.0269,0.3952,0.3615,0.6318,0.5377
BORCS7,0.3684,0.2625,0.1978,0.2664,0.2524,0.5286,0.248,0.4755,0.4258,-0.5954,0.1785,0.0924,0.4351,0.2793
SFR1,0.1925,,,0.1225,0.1718,0.021,0.0719,0.1321,0.0775,,-0.1691,,,-0.13
ANAPC16,0.2626,-0.092,-0.0624,0.0961,0.0803,0.3672,0.1085,-0.0393,-0.0172,,-0.0194,,0.0301,0.1384
SFXN4,0.2233,0.2107,0.1285,0.2742,0.2903,0.3792,0.4058,0.2517,0.0872,0.4808,0.1832,,0.3396,0.3602
CPXM2,0.6208,0.2762,0.5309,0.7013,0.2791,0.66,0.7842,0.7259,0.569,0.2,0.7403,,,0.6026
DNAJC24,0.2557,,,,,0.1446,0.4737,0.137,0.2037,,0.2075,,0.2587,
ARL14EP,0.0362,-0.1773,,0.2297,0.0857,0.162,0.3734,0.2228,0.1988,,0.1446,,0.2649,0.2054
LRRK2,0.0696,0.0025,,0.6,,0.8157,0.8391,0.8276,0.6056,,0.4395,0.5558,0.3028,0.1986
C12orf45,0.2536,0.195,0.3137,0.4644,0.4572,0.5047,0.5151,0.5092,0.7584,,0.1879,,0.6636,0.3574
SLC15A4,0.2389,0.1372,0.1196,0.5183,0.2282,0.2898,0.4423,0.2667,0.3538,,0.3759,,0.4931,0.5207
KRT74,0.233,,0.1076,,0.2538,0.054,,,,,,,,
NEDD1,0.4124,0.2395,-0.1004,0.5951,0.3947,0.4427,0.7091,0.7466,0.6758,,0.4949,0.4731,0.5829,0.3974
IKBIP,0.4422,0.5226,0.5132,0.7599,0.545,0.7779,0.756,0.7897,0.5505,0.3163,0.7474,0.6528,0.8352,0.5412
FGD4,0.5192,0.2598,0.3113,0.7425,0.5671,0.4443,0.8,0.7844,0.8623,0.3785,0.7216,0.6027,0.8017,0.7712
AEBP2,0.1258,,,0.2069,,,0.2487,0.3535,,,,,,
BTBD11,0.0523,-0.179,,0.5565,,,0.8291,,0.823,0.0892,-0.0391,,0.8982,
ALKBH2,0.4614,,,0.4518,0.1759,0.1519,0.7267,0.4949,0.6216,,,,0.5634,0.5529
AK7,-0.0186,,,,,,0.4497,0.272,0.449,,,0.4044,-0.1002,
