,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
ANAPC10,0.1575,0.2629,,0.1291,,-0.0392,0.304,0.101,0.3393,,0.1033,,0.018,0.0122
PRG3,0.1611,0.1827,0.1391,0.0499,,0.1679,0.172,0.0938,0.1106,,0.0547,,,-0.0392
DLC1,0.254,,,,,0.4688,0.3572,0.5375,0.2811,,0.32,,0.6268,0.3169
ATP8A1,0.2075,0.3641,0.4032,0.1809,0.2579,0.7278,0.7072,0.8053,0.4497,0.5894,0.3531,0.5529,0.6837,0.38
NDRG1,0.7882,0.3301,0.6423,0.9139,0.8201,0.8019,0.946,0.8621,0.8518,0.4773,0.7759,0.818,0.8648,0.8424
MYL9,0.5791,0.4283,0.3809,0.5535,0.3734,0.5482,0.6826,0.6499,0.6617,0.058,0.4772,0.606,0.731,0.5533
RACK1,0.0529,-0.0281,0.1276,0.2618,0.217,-0.0109,0.029,-0.1084,-0.0198,0.0578,0.2428,,0.4331,0.2353
PIAS3,0.1648,,,,0.1727,,0.3073,0.3104,0.2019,,0.0043,,,
NDC80,0.8065,0.3579,,0.7319,0.4655,,0.8774,0.8114,0.8747,,0.4894,,0.8601,0.814
CPQ,0.693,0.4531,0.0558,0.609,0.4629,0.1112,0.7368,0.8133,0.7601,0.3069,0.5519,0.6495,0.7309,0.5287
WFDC2,0.6586,0.6009,0.2276,0.644,0.7358,0.2276,0.8212,0.7884,0.6522,,0.7315,,,
BASP1,0.5263,0.2121,0.2909,0.8309,0.6575,0.7972,0.9111,0.8718,0.8609,0.5893,0.4765,0.6204,0.6357,0.7506
IFITM3,0.422,0.0705,0.3904,0.5991,0.5237,0.2513,0.5581,0.3638,0.5608,0.3962,0.5382,,0.4297,0.5536
NSA2,-0.0869,0.2466,0.1131,0.1527,0.1695,0.0354,0.0996,0.0819,0.0677,0.107,0.0909,,0.2234,0.255
YAP1,0.6635,0.2561,0.4977,0.7945,0.6626,0.5497,0.7105,0.8355,0.4777,0.2345,0.5332,0.8089,0.8138,0.6323
SPON2,0.4628,0.3427,0.3517,0.5207,0.4971,0.5436,0.4841,0.5165,0.3861,0.7173,0.2491,,0.5973,0.6221
SPON1,0.7111,,0.4248,0.7953,0.8396,0.6682,0.7684,0.7525,0.882,0.3721,0.7357,0.6523,0.9006,
PRMT5,0.5068,0.4607,0.4844,0.7113,0.5325,0.7465,0.8171,0.6149,0.4937,0.0958,0.2753,0.5405,0.6959,0.3839
TESK2,0.618,,,0.4943,,,0.6607,0.2047,,0.5622,,,,0.4734
CD2BP2,0.5031,0.1132,0.1009,0.0583,0.4389,0.2512,0.4288,0.4231,0.1835,0.2294,0.0942,0.2843,0.1091,0.6479
UBAC1,0.201,0.0966,0.0622,0.4662,0.3581,0.0612,0.642,0.2387,0.2602,0.2656,0.2507,0.3175,0.2262,0.2931
